순번,관리기관명,소재지도로명주소,설치목적구분,카메라대수,우편번호,행정동명
1,관악구청,쑥고개로2라길,다목적,1,8829,서림동
2,관악구청,쑥고개로2라길,다목적,1,8829,서림동
3,관악구청,관악로6길,다목적,1,8791,낙성대동
4,관악구청,관악로6길,다목적,1,8791,낙성대동
5,관악구청,신림로31가길,다목적,1,8845,서림동
6,관악구청,남부순환로200다길,다목적,1,8780,서원동
7,관악구청,낙성대역8길,다목적,1,8799,인헌동
8,관악구청,서림3길,다목적,1,8840,서림동
9,관악구청,서림3길,다목적,1,8840,서림동
10,관악구청,광신길,다목적,1,8848,삼성동
11,관악구청,광신길,다목적,1,8848,삼성동
12,관악구청,난우10가길,다목적,1,8850,미성동
13,관악구청,난우10가길,다목적,1,8850,미성동
14,관악구청,신림로70길,다목적,1,8755,신림동
15,관악구청,승방3나길,다목적,1,8808,남현동
16,관악구청,승방3나길,다목적,1,8808,남현동
17,관악구청,양녕로6다길,다목적,1,8746,중앙동
18,관악구청,양녕로6다길,다목적,1,8746,중앙동
19,관악구청,인헌3가길,다목적,1,8795,인헌동
20,관악구청,청룡12길,다목적,1,8831,청룡동
21,관악구청,법원단지길,다목적,1,8850,미성동
22,관악구청,법원단지길,다목적,1,8850,미성동
23,관악구청,국회단지19길,다목적,1,8713,은천동
24,관악구청,국회단지19길,다목적,1,8713,은천동
25,관악구청,남부순환로246라길,다목적,1,8793,인헌동
26,관악구청,남부순환로246라길,다목적,1,8793,인헌동
27,관악구청,남현길,다목적,1,8806,남현동
28,관악구청,남현길,다목적,1,8806,남현동
29,관악구청,남현길,다목적,1,8806,남현동
30,관악구청,관천로22길,다목적,1,8706,신림동
31,관악구청,관천로22길,다목적,1,8706,신림동
32,관악구청,낙성대역14가길,다목적,1,8797,인헌동
33,관악구청,낙성대역8길,다목적,1,8799,인헌동
34,관악구청,남부순환로163가길,다목적,1,8763,신사동
35,관악구청,남부순환로163가길,다목적,1,8763,신사동
