"연번","지역구분","상호","상세주소","연락처","사이트URL"
"1","서울시 중구","중구 재활용센터","서울시 중구 다산로 174","02-2233-7289","http://zungo.co.kr/main/main.php?CPC_REFERER=http%3A%2F%2Ffleamarket.seoul.go.kr%2Frcmarket%2Findex.do"
"2","서울시 용산구","용산구 재활용센터","서울시 용산구 한강대로 67길 22-20","02-794-8665",""
"3","서울시 성동구","성동구 재활용센터","서울시 성동구 천호대로78길 58","02-2204-7997",""
"4","서울시 광진구","광진구 재활용센터","서울시 광진구 자양로15길 60","02-497-7272",""
"5","서울시 동대문구","동대문구 제1재활용센터","서울시 동대문구 사가정로 215","02-2213-8272","http://www.dm8272.co.kr/"
"6","서울시 동대문구","동대문구 제2재활용센터","서울시 동대문구 시립대로 110","02-2242-7282","http://www.dm8272.co.kr/"
"7","서울시 동대문구","동대문구 제3재활용센터","서울시 동대문구 답십리로 250-4","02-2243-7282","http://www.dm8272.co.kr/"
"8","서울시 중랑구","중랑구 재활용센터","서울시 중랑구 면목로 377","02-435-7272","http://www.jj7272.com/shop/main/index.php"
"9","서울시 성북구","성북구 재활용센터","서울시 성북구 화랑로 148","02-941-8272","http://www.zungo.co.kr/main/main.php?CPC_REFERER=http%3A%2F%2Ffleamarket.seoul.go.kr%2Frcmarket%2Findex.do"
"10","서울시 강북구","강북구 재활용센터","서울시 강북구 한천로 1108-1","02-987-8272","http://www.zungo.co.kr/main/main.php?CPC_REFERER=http%3A%2F%2Ffleamarket.seoul.go.kr%2Frcmarket%2Findex.do"
"11","서울시 도봉구","도봉 재활용센터","서울시 도봉구 마들로13길 218","02-902-8272",""
"12","서울시 노원구","노원구 재활용센터 제1관","서울시 노원구 공릉로 326-12","02-974-7282","http://www.zungo.co.kr/north/nw1_center1_1.php"
"13","서울시 노원구","노원구 재활용센터 제2관","서울시 노원구 덕릉로 639","02-933-8289","http://www.zungo.co.kr/north/nw2_center1_1.php"
"14","서울시 은평구","은평구 재활용센터","서울시 은평구 수색로24길 16","02-307-7282","http://eprecycle.co.kr/"
"15","서울시 서대문구","서대문구 재활용센터","서울시 서대문구 모래내로 369","02-394-8272","http://www.s8272.co.kr/"
"16","서울시 양천구","양천구 목동 재활용센터","서울시 양천구 목동서로 262","02-2651-2582","http://www.ycrc.co.kr/"
"17","서울시 양천구","양천구 서부 재활용센터","서울시 양천구 신월로 134","02-2605-0028","http://www.ycrc.co.kr/"
"18","서울시 강서구","강서 재활용센터","서울시 강서구 화곡로35길 1","02-2602-0502","http://www.junggo114.com/main/main.htm"
"19","서울시 강서구","강서구 재활용센터","서울시 강서구 방화대로 336","02-2666-7262",""
"20","서울시 강서구","친환경 재활용센터","서울시 강서구 강서로 134(화곡동정원사빌딩1층)  ","02-2697-2449","http://www.recycletown.co.kr/shop/main/index.php"
"21","서울시 강서구","강서구 중고재활용센터","서울시 강서구 강서로 68길23","02-3662-8545","http://www.gurogu.co.kr/main/main.php"
"22","서울시 구로구","구로구 재활용센터","서울시 구로구 새말로 48","02-858-8272","http://www.gurogu.co.kr/main/main.php"
"23","서울시 금천구","독산동 재활용센터","서울시 금천구 독산로 303","02-863-7282","http://www.jungo7282.co.kr/"
"24","서울시 금천구","금천구 재활용센터","서울시 금천구 시흥대로 182","02-802-7282",""
"25","서울시 영등포구","영등포구 재활용센터 1관","서울시 영등포구 당산로3가 447","02-2675-7289","http://www.jgmarket.co.kr/shop/main/index.php"
"26","서울시 영등포구","영등포구 재활용센터 2관","서울시 영등포구 대방천로 207","02-836-7289","http://zungo.co.kr/d_sub_frame.php"
"27","서울시 관악구","관악구 재활용센터 1관","서울시 관악구 남부순환로 1427","02-886-9113","http://www.jungo.co.kr/main/main.php?CPC_REFERER=http%3A%2F%2Ffleamarket.seoul.go.kr%2Frcmarket%2Findex.do"
"28","서울시 서초구","서초구 재활용센터","서울시 서초구 양재대로12길 73-19","02-571-7272","http://www.서초구5717272.com/mall/index.php"
"29","서울시 강남구","리싸이클세상","서울시 강남구 논현로 115길7(논현동 191-6)","02-501-7157","http://www.rety.co.kr/"
"30","서울시 강남구","강남구 재활용센터","서울시 강남구 개포로247(개포동 1259-6)","02-579-6677","http://www.kn4989.com/main/main.php"
"31","서울시 송파구","송파구 재활용센터","서울시 송파구 문정로 246","02-431-6190","http://cafe.naver.com/sssaemaul"
"32","서울시 강동구","㈜리싸이클씨티","서울시 강동구 동남로 930","02-429-6114","http://www.rety.co.kr/"
